lat,lon,blue,green,red,nir,swir1,swir2,ndvi,evi,savi,ndmi,nbr,elevation,slope,n_images,agbd_tonnes_per_ha
-15.606083636558406,14.870914444329664,589.0,797.0,1074.0,2144.0,2883.0,2021.0,0.30588236451148987,0.5491881566380133,0.45875606528451696,-0.16702964901924133,0.02909507416188717,1164,1.9252605438232422,49,1.630395
-15.585535714177404,14.887055904552096,458.0,642.0,855.0,1816.0,2529.0,1776.0,0.350547730922699,0.68731438268986,0.5257187561118717,-0.1755567044019699,0.0005797101184725761,1173,2.0890796184539795,49,1.4534664
-15.571155276735173,14.89835984750029,497.0,684.0,928.0,1910.0,2500.0,1627.0,0.3197613060474396,0.6086956521739131,0.4795578171609054,-0.15434986352920532,0.06313757598400116,1175,2.136389970779419,49,4.936045
-15.570744817278552,14.89868253901286,443.0,624.0,846.0,1950.0,2423.0,1624.0,0.38411667943000793,0.7126436781609196,0.5760583350212679,-0.134855255484581,0.08351309597492218,1174,3.4287259578704834,49,4.7372828
-15.569513435387528,14.899650580221428,421.0,585.0,780.0,1944.0,2510.0,1607.0,0.4180704355239868,0.7550941449574413,0.6269856459330143,-0.12301956862211227,0.10653536021709442,1173,2.7802884578704834,49,5.190227
-15.56828248859332,14.90061836419994,452.0,585.0,767.0,1732.0,2289.0,1486.0,0.3578287959098816,0.7615070197263195,0.5366311834690043,-0.1610448956489563,0.07336956262588501,1177,1.3366384506225586,49,8.967331
-15.567461809034253,14.90126356752575,376.0,521.0,691.0,1780.0,2133.0,1346.0,0.4091903865337372,0.8049424184261036,0.6136512798074819,-0.13670557737350464,0.10445775091648102,1175,1.336635708808899,49,7.981093
-15.567051399664797,14.901586203501203,394.0,561.0,719.0,1832.0,2053.0,1303.0,0.3893696069717407,0.7865168539325842,0.583934088568486,-0.10073452442884445,0.13944223523139954,1175,3.4286835193634033,49,7.9119763
-15.566230579597253,14.902231478232796,432.0,576.0,721.0,1782.0,2146.0,1396.0,0.387927383184433,0.7958801498127341,0.581768305549694,-0.14636752009391785,0.09476564824581146,1174,1.8543341159820557,49,8.46131
-15.565820199697251,14.90255410282808,373.0,521.0,651.0,1840.0,2071.0,1292.0,0.488095223903656,1.0558043403375819,0.7319872476089266,-0.07966513931751251,0.17601795494556427,1174,2.6718087196350098,49,9.275456
